manufacturer_name,group_code
ブリヂストンサイクル,bicycle_vehicle
パナソニックサイクル,bicycle_vehicle
ヤマハ,bicycle_vehicle
ヤマハ,motorcycle_vehicle
ヤマハ,motorcycle_parts
ヤマハ,other
丸石サイクル,bicycle_vehicle
玉越サイクル,bicycle_vehicle
宮田サイクル,bicycle_vehicle
キャノンデール,bicycle_vehicle
キャノンデール,bicycle_parts
トレック,bicycle_vehicle
ジャイアント,bicycle_vehicle
ジャイアント,bicycle_parts
ビアンキ,bicycle_vehicle
ビアンキ,bicycle_parts
スコット,bicycle_vehicle
スコット,bicycle_parts
フジ,bicycle_vehicle
メリダ,bicycle_vehicle
ルイガノ,bicycle_vehicle
コナ,bicycle_vehicle
ダホン,bicycle_vehicle
ターン,bicycle_vehicle
バーディー,bicycle_vehicle
ブルーノ,bicycle_vehicle
ジオス,bicycle_vehicle
ベスビー,bicycle_vehicle
ベネリ,bicycle_vehicle
ベネリ,motorcycle_vehicle
ストライダー,bicycle_vehicle
アンカー,bicycle_vehicle
ビーエムシー,bicycle_vehicle
セルベロ,bicycle_vehicle
コルナゴ,bicycle_vehicle
デローザ,bicycle_vehicle
フェルト,bicycle_vehicle
ジーティー,bicycle_vehicle
ジャミス,bicycle_vehicle
オルベア,bicycle_vehicle
リドレー,bicycle_vehicle
ヨネックス,bicycle_vehicle
ケーティーエム,bicycle_vehicle
ケーティーエム,motorcycle_vehicle
ハスクバーナ,bicycle_vehicle
ハスクバーナ,motorcycle_vehicle
ハスクバーナ,motorcycle_parts
ハスクバーナ,other
レインボー,bicycle_vehicle
レインボー,motorcycle_vehicle
ホンダ,bicycle_vehicle
ホンダ,motorcycle_vehicle
ホンダ,motorcycle_parts
ホンダ,other
スズキ,bicycle_vehicle
スズキ,motorcycle_vehicle
スズキ,motorcycle_parts
スズキ,other
カワサキ,bicycle_vehicle
カワサキ,motorcycle_vehicle
カワサキ,motorcycle_parts
カワサキ,other
ハーレーダビッドソン,bicycle_vehicle
ハーレーダビッドソン,motorcycle_vehicle
ハーレーダビッドソン,motorcycle_parts
ハーレーダビッドソン,other
シマノ,bicycle_parts
シマノ,motorcycle_parts
スラム,bicycle_parts
カンパニョーロ,bicycle_parts
マヴィック,bicycle_parts
ディーティースイス,bicycle_parts
ジップ,bicycle_parts
エンヴィ,bicycle_parts
キャットアイ,bicycle_parts
レザイン,bicycle_parts
トピーク,bicycle_parts
ワコーズ,bicycle_parts
ワコーズ,motorcycle_parts
アイアールシー,bicycle_parts
パナレーサー,bicycle_parts
オージーケーカブト,bicycle_parts
オージーケー,motorcycle_parts
アライ,motorcycle_parts
デイトナ,motorcycle_parts
キジマ,motorcycle_parts
SYM,motorcycle_vehicle
SYM,motorcycle_parts
キムコ,motorcycle_vehicle
キムコ,motorcycle_parts
QJモーター,motorcycle_vehicle
QJモーター,motorcycle_parts
ゾンテス,motorcycle_vehicle
ゾンテス,motorcycle_parts
グラフィット,motorcycle_vehicle
グラフィット,motorcycle_parts
その他,bicycle_parts
その他,motorcycle_vehicle
その他,motorcycle_parts
その他,other
ササキコーポレーション,other
